,perovskite_composition,passivating_molecule
4705,FA0.83Cs0.17Pb0.5Sn0.5I3,Al2O3
4706,(FA0.98MA0.02)0.95Cs0.05Pb(I0.95Br0.02)3,2-TMAI
4707,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,formamidinium
4708,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
4709,FA0.85MA0.1Cs0.05PbI2.9Br0.1,butylamine
4710,FA(MA)PbI3,ZrL3
4711,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
4712,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),poly(methyl methacrylate)
4713,Cs0.05(MA0.1FA0.85)PbI3,butylamine
4714,Cs0.15FA0.85MA0.1PbI2.55Br0.45,allylammonium
4715,FAPbI3,2D perovskite
4716,FA0.9Cs0.1PbI3,2CF3-phenethylammonium iodide
4717,FA0.83MA0.17Pb(I0.6Br0.4)3,CF3PEAI2D
4718,3D/CLP/2D perovskite heterostructure,hexyltrimethylammonium bromide
4719,PEA2(CH3NH3)2Pb2I7,formamidinium
4720,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,(PbI2)2RbCl
4721,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),PDAI2 and 3MTPAI
4722,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,benzylhydrazine (BHC)
4723,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,poly(4-vinylpyridine)
4724,formamidinium lead iodide (FAI) based compound,Cs2PbI2Cl2
4725,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,hexafluorobenzene
4726,Cs0.15FA0.85MA0.1PbI2.55Br0.45,cross-linked polymer (CLP)
4727,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,isopropylammonium chloride
4728,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,TiOxNy
4729,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),formamidine acetate
4730,(FAPbI3)1-x(MC)x,CB-NH2
4731,(FA0.98MA0.02)0.95Cs0.05Pb(I0.95Br0.02)3,4-trifluoromethyl-phenylammonium
4732,Cs0.15FA0.85MA0.1PbI2.55Br0.45,formamidinium lead iodide (FAPbI3)
4733,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,benzene
4734,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,4-guanidinobenzoic acid hydrochloride (GBAC)
4735,formamidinium-based,NH4Cl
4736,Cs0.1FA0.9PbI3,ferrocenyl-bis-thiophene-2-carboxylate
4737,(FA0.98MA0.02)0.95Cs0.05Pb(I0.95Br0.02)3,EDAI2
4738,Cs0.05(MA0.1FA0.85PbI3)3,2-aminoindan hydrochloride
4739,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),mixed cations of MDA and Cs
4740,FAPbI3,methylamine
4741,FA0.83Cs0.17Pb0.5Sn0.5I3,n-butylamine acetate
4742,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,Oleylammonium iodide
4743,FA0.85Cs0.15PbI2.85I3,"PEAI, Cl-PEAI, F-PEAI"
4744,FA-based mixed perovskites,4-chlorophenylethylammonium iodide
4745,FAPbI3:0.95MAPbBr3:0.05,NaF
4746,formamidinium lead iodide (FAI) based compound,4-tert-butyl-benzylammonium iodide
4747,(FAPbI3)1-x(MC)x,allylammonium (ALA)
4748,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,AZO/SnOx
4749,FA0.15MA0.85PbI3,butylamine
4750,FA0.8Cs0.2Pb0.5Sn0.5I3,4-ethyl-1H-pyrrole-2-carboxylic acid
4751,Cs0.1FA0.9PbI3,lead sulfate
4752,Cs0.15FA0.85MA0.05PbI3,Oleylammonium iodide
4753,Cs0.05FA0.9MA0.05PbI2.74Br0.26,piperazinium iodide
4754,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,"1,3-propane diammonium iodide"
4755,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,4-ethyl-1H-pyrrole-2-carboxylic acid
4756,FA0.85MA0.15PbI3,phenethylammonium iodide (PEAI)
4757,FA0.82Cs0.13MA0.05PbI3,2D perovskite
4758,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,4-vinylbenzylamine
4759,Cs0.1FA0.9PbI3,2-TMAI
4760,(FAPbI3)0.97(MAPbBr3)0.03,PDAI2 and 3MTPAI
4761,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,ferrocenyl-bis-thiophene-2-carboxylate
4762,FA0.95MA0.05Pb(I0.92Br0.08)3,sulfonyl fluoride-functionalized phenethylammonium salt
4763,FA(MA)PbI3,Cs2PbI2Cl2
4764,FA0.83Cs0.17Pb0.5Sn0.5I3,"N,N-dimethyl-1,3-propane diammonium diiodide"
4765,FA0.98Cs0.02PbI3,NH4Cl
4766,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,"PEAI, Cl-PEAI, F-PEAI"
4767,3D/CLP/2D perovskite heterostructure,4-fluoroaniline
4768,Cs0.05FA0.81MA0.14PbI2.55Br0.45,"Polystyrene (PS), Teflon, and poly(vinylidene-trifluoroethylene) (PVDF-TrFE)"
4769,Cs0.12FA0.8MA0.08PbI1.8Br1.2,Oleylammonium iodide
4770,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),Chlorine-capped TiO2
4771,FA0.8Cs0.2Pb(I0.7Br0.3)3,CB-NH2
4772,MA0.7FA0.3PbI3,allylammonium
4773,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),2-(9H-carbazol-9-yl)ethyl phosphonic acid
4774,(FAPbI3)1-x(MC)x,3F-PEA
4775,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,phenylethylammonium iodide
4776,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,allylammonium
4777,Cs0.17FA0.83Pb(I0.6Br0.4)3,octylammonium iodide
4778,(FAPbI3)0.77 (MAPbBr3)0.14 (CsPbI3)0.09,sodium thioglycolate
4779,Cs0.15FA0.85MA0.1PbI2.55Br0.45,4-guanidinobenzoic acid hydrochloride (GBAC)
4780,CH3NH3PbI3,"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
4781,FA0.82Cs0.13MA0.05PbI3,methylamine
4782,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,PDAI2 and 3MTPAI
4783,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,lead sulfate
4784,3D/CLP/2D perovskite heterostructure,PSP
4785,Cs0.1FA0.9PbI3,4-trifluoromethyl-phenylammonium
4786,(FAPbI3)1-x(MC)x,4-vinylbenzylammonium bromide
4787,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,phenylethylammonium iodide
4788,(FA0.98MA0.02)0.95Cs0.05Pb(I0.95Br0.02)3,4-tert-butyl-benzylammonium iodide
4789,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,2-(9H-carbazol-9-yl)ethyl phosphonic acid
4790,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,4-vinylbenzylamine
4791,formamidinium lead iodide (FAI) based compound,oxalic acid
4792,CH3NH3PbI3,benzylhydrazine (BHC)
4793,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,Cs2PbI2Cl2
4794,FA0.90MA0.10PbI3•(CsPbI3)0.05 with excess PbI2 and FA0.8075MA0.10Cs0.05Pb(I0.854Br0.186)3,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
4795,FA(MA)PbI3,CF3PEAI2D
4796,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,2-TMAI
4797,FA0.82Cs0.13MA0.05PbI3,DTB(3%DEG)
4798,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,ZrL3
4799,(FAPbI3)0.95(MAPbBr3)0.05,phenethylammonium iodide (PEAI)
4800,FA0.8Cs0.2Pb(I0.7Br0.3)3,allylammonium (ALA)
4801,CH3NH3PbI3,isopropylammonium chloride
4802,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,Al2O3
4803,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),NaF
4804,FAMAPbI3 and MAPbI3 layers (two-step method),Chlorine-capped TiO2
4805,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,LiF
4806,formamidinium lead iodide,PDAI2 and 3MTPAI
4807,Cs0.17FA0.83Pb(I0.6Br0.4)3,Spiro-mF
4808,FAMAPbI3 and MAPbI3 layers (two-step method),"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
4809,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,none
4810,PEA2(CH3NH3)2Pb2I7,Cs2PbI2Cl2
4811,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,cross-linked polymer (CLP)
4812,Cs0.15FA0.85PbI2.55Br0.45,PEA2ZnX4
4813,Cs0.05(MA0.1FA0.85)PbI3,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
4814,FAMAPbI3 and MAPbI3 layers (two-step method),benzylhydrazine (BHC)
4815,FA0.85MA0.1Cs0.05PbI2.9Br0.1,"1,3-propane diammonium iodide"
4816,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,sulfonyl fluoride-functionalized phenethylammonium salt
4817,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,"b-poly(1,1-difluoroethylene) (b-pV2F)"
4818,Cs0.2FA0.8Pb(I0.6Br0.4)3,poly(4-vinylpyridine)
4819,Cs0.05(MA0.1FA0.85)PbI3,"1,3-propane diammonium iodide"
4820,FAMAPbI3 and MAPbI3 layers (two-step method),isopropylammonium chloride
4821,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,formamidinium lead iodide (FAPbI3)
4822,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,CF3PEAI2D
4823,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,n-hexylammonium bromide and n-octylammonium bromide
4824,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,n-hexyl trimethyl ammonium bromide
4825,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,EDAI2
4826,FA0.95MA0.05Pb(I0.92Br0.08)3,n-butylammonium bromide (BABr)
4827,Cs0.17FA0.83Pb(I0.6Br0.4)3,CsMAFA-8
4828,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
4829,FA0.8Cs0.2Pb(I0.7Br0.3)3,3F-PEA
4830,FA0.82Cs0.13MA0.05PbI3,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
4831,PEA2(CH3NH3)2Pb2I7,CF3PEAI2D
4832,Cs0.05(MA0.05FA0.95)0.95Pb(I0.85Br0.15)3,"PEAI, Cl-PEAI, F-PEAI"
4833,FA0.85Cs0.15PbI2.85I3,benzene
4834,(FA0.98MA0.02)0.95Cs0.05Pb(I0.95Br0.02)3,oxalic acid
4835,FA0.83Cs0.17MA0.17Pb0.5Sn0.5I3,n-hexyl trimethyl ammonium bromide
4836,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,sodium thioglycolate
4837,FAPbI3:0.95MAPbBr3:0.05,allylammonium
4838,FA0.8Cs0.2Pb(I0.7Br0.3)3,4-vinylbenzylammonium bromide
4839,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,2CF3-phenethylammonium iodide
4840,formamidinium-based,(BA)2PbI4
4841,(FA0.98MA0.02)0.95Cs0.05Pb(I0.95Br0.02)3,"Polystyrene (PS), Teflon, and poly(vinylidene-trifluoroethylene) (PVDF-TrFE)"
4842,MA0.07FA0.93PbI3,sulfonyl fluoride-functionalized phenethylammonium salt
4843,MA0.07FA0.93PbI3,poly(methyl methacrylate)
4844,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)0.05I3,4-chlorophenylethylammonium iodide
4845,FA0.9Cs0.1PbI3,cyclohexylmethylammonium iodide
4846,MAPbI3,Oleylammonium iodide
4847,FA0.95Cs0.05PbI3,n-hexyl trimethyl ammonium bromide
4848,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
4849,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,2CF3-phenethylammonium iodide
4850,formamidinium lead triiodide (FAPbI3),poly(4-vinylpyridine)
4851,Cs0.1FA0.9PbI3,4-tert-butyl-benzylammonium iodide
4852,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,Cl-cPP and Cl-bSO
4853,(FAPbI3)0.97(MAPbBr3)0.03,mixed cations of MDA and Cs
4854,FA0.15MA0.85PbI3,"2,2',2',2'-tetrakis(4-ethylammonium) 1,3,5-triazine"
4855,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,CF3PEAI
4856,Cs0.15FA0.85MA0.1PbI2.55Br0.45,Al2O3
4857,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,benzylhydrazine (BHC)
4858,FA0.83Cs0.17PbI3,"b-poly(1,1-difluoroethylene) (b-pV2F)"
4859,FA0.15MA0.85PbI3,"1,3-propane diammonium iodide"
4860,MA0.07FA0.93PbI3,formamidine acetate
4861,Cs0.05FA0.9MA0.05PbI2.74Br0.26,NH4Cl
4862,Cs0.1FA0.9PbI2.55Br0.45,Chlorine-capped TiO2
4863,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,isopropylammonium chloride
4864,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,LiF
4865,Cs0.05(MA0.1FA0.85PbI3)3,formamidinium formate
4866,FA0.8Cs0.2Pb0.5Sn0.5I3,AZO/SnOx
4867,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),NaF
4868,formamidinium lead iodide,CF3PEAI
4869,CsPbI3-xBrx,PDAI2 and 3MTPAI
4870,formamidinium-based,pentanamidine hydrochloride
4871,FA0.95MA0.05Pb(I0.92Br0.08)3,methylammonium chloride
4872,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,n-butylammonium bromide (BABr)
4873,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,4-guanidinobenzoic acid hydrochloride (GBAC)
4874,Cs0.05FA0.54MA0.41Pb(I0.98Br0.02)3,mixed cations of MDA and Cs
4875,Cs0.15FA0.85MA0.05PbI3,LiF
4876,Cs0.1FA0.9PbI2.55Br0.45,isopropylammonium chloride
4877,Cs0.05FA0.95PbI3,poly(4-vinylpyridine)
4878,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,4-tert-butyl-benzylammonium iodide
4879,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,n-hexyl trimethyl ammonium bromide
4880,formamidinium-based,2-aminoindan hydrochloride
4881,Cs0.15FA0.85MA0.1PbI2.55Br0.45,n-butylamine acetate
4882,formamidinium lead iodide,mixed cations of MDA and Cs
4883,Cs0.05(FA0.05MA0.95)0.95 Pb0.05(I0.95Br0.05)0.05,poly(4-vinylpyridine)
4884,CsFAMAPbI3,methylamine
4885,Cs0.05(FA0.05MA0.95)0.95Pb(I0.9Br0.1)3,AZO/SnOx
4886,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),allylammonium
4887,FA(MA)PbI3,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
4888,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,formamidinium
4889,FA0.83Cs0.17PbI3,CF3PEAI
4890,3D/CLP/2D perovskite heterostructure,piperazinium iodide
4891,FA0.85Cs0.15PbI2.85I3,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
4892,CsPbI3-xBrx,"b-poly(1,1-difluoroethylene) (b-pV2F)"
4893,Cs0.15FA0.85MA0.05PbI3,n-hexyl trimethyl ammonium bromide
4894,phase-pure quantum wells,sulfonyl fluoride-functionalized phenethylammonium salt
4895,phase-pure quantum wells,poly(methyl methacrylate)
4896,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,NH4Cl
4897,Cs0.05(FA0.05MA0.5)0.95Pb(I0.85Br0.15)3,ortho-(phenylene)di(ethylammonium) iodide
4898,FA0.8Cs0.2Pb0.5Sn0.5I3,phenylethylammonium iodide
4899,CH3NH3PbI3,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
4900,(FAI)0.81(PbI2)0.85(MAPbBr3)0.15,azetidinium iodide
4901,[(FAPbI3)0.87(MAPbBr3)0.13]0.92(CSPbI3)0.08,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
4902,FA0.85MA0.15PbI3,formamidine acetate
4903,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,phenylethylammonium iodide
4904,Cs0.05(MA0.1FA0.85PbI3)3,"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
4905,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),formamidinium lead iodide (FAPbI3)
4906,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,hexyltrimethylammonium bromide
4907,Cs0.15FA0.85PbI2.55Br0.45,methylammonium chloride
4908,3D/0D perovskite,ortho-(phenylene)di(ethylammonium) iodide
4909,(FAPbI3)0.97(MAPbBr3)0.03,NaF
4910,MA0.7FA0.3PbI3,FA0.83Cs0.17Pb0.5Sn0.5I3
4911,Cs0.15FA0.85MA0.1PbI2.55Br0.45,"N,N-dimethyl-1,3-propane diammonium diiodide"
4912,FA0.83Cs0.17PbI3,mixed cations of MDA and Cs
4913,Cs0.05(MA0.1FA0.85PbI3)3,benzylhydrazine (BHC)
4914,formamidinium lead iodide (FAPbI3),"b-poly(1,1-difluoroethylene) (b-pV2F)"
4915,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,"2,2',6,6'-bis(4-methoxy-2,4,6-trimethylphenyl)-1,3,5-triazine"
4916,Cs0.05 FA0.85 MA0.10 Pb(I0.97 Br0.03)3 with 5% excess of PbI2,methylammonium chloride
4917,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,FA0.83Cs0.17Pb0.5Sn0.5I3
4918,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
4919,Cs0.12FA0.8MA0.08PbI1.8Br1.2,n-hexyl trimethyl ammonium bromide
4920,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,methylamine
4921,FAMAPbI3 and MAPbI3 layers (two-step method),4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
4922,FA0.98Cs0.02PbI3,2-aminoindan hydrochloride
4923,"MAPbCl3, MAPbBr3, MAPbI3",CsMAFA-8
4924,FA0.8Cs0.2Pb(I0.7Br0.3)3,benzene
4925,CsFAMAPbI3,piperazinium iodide
4926,FA0.83MA0.17Pb(I0.83Br0.17)3 with a small addition of CsI,oxalic acid
4927,CH3NH3PbI3,Cl-cPP and Cl-bSO
4928,FA1-xMAxPbI3Br0.13,TiOxNy
4929,(FAPbI3)0.95(MAPbBr3)0.05,poly(methyl methacrylate)
4930,formamidinium lead iodide (FAI) based compound,EDTA
4931,Cs0.05(MA0.1FA0.85)PbI3,DTB(3%DEG)
4932,PEA2(CH3NH3)2Pb2I7,"m-TiO2, QD-SnO2, and paa-QD-SnO2"
4933,FAPbI3 with 35 mol% MACl and 3.8 mol% MDC,NH4Cl
4934,CsPbI3-xBrx,CF3PEAI
4935,FA0.15MA0.85PbI3,2D perovskite
4936,Cs0.05(FAPbI3)0.85(MAPbBr3)0.15,4-vinylbenzylamine
4937,Cs0.05(MA0.1FA0.85PbI3)3,Choline chloride
4938,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,Al2O3
4939,Cs0.17FA0.83Pb(I0.6Br0.4)3,"hexafluorodifluoropropane-1,3-disulfonimide (HFDF)"
4940,(FAPbI3)0.95(MAPbBr3)0.05,formamidine acetate
4941,FAMAPbI3 and MAPbI3 layers (two-step method),Cl-cPP and Cl-bSO
4942,FA0.8Cs0.2Pb0.5Sn0.5I3,sodium thioglycolate
4943,Cs0.1FA0.9PbI2.55Br0.45,NaF
4944,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,phenethylammonium iodide
4945,CsPbI3-xBrx,mixed cations of MDA and Cs
4946,MA0.7FA0.3PbI3,n-butylamine acetate
4947,FA0.83Cs0.17Pb(I0.83Br0.17)3 with 1% PbI2 excess,piperazinium iodide
4948,FA-based mixed perovskites,n-butylammonium bromide (BABr)
4949,2D lead halide perovskites with different layer numbers (n = 10 to 1) and different halide compositions (Br and I),allylammonium
4950,FA0.95Cs0.05PbI3,4-vinylbenzylamine
4951,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,n-butylamine acetate
4952,FA0.85MA0.15PbI3,2-(9H-carbazol-9-yl)ethyl phosphonic acid
4953,phase-pure quantum wells,n-butylammonium bromide (BABr)
4954,MAPbI3,hexyltrimethylammonium bromide
4955,FA0.8Cs0.2Pb0.5Sn0.5I3,2CF3-phenethylammonium iodide
4956,FA0.15MA0.85PbI3,methylamine
4957,MA0.7FA0.3PbI3,anisole
4958,MAPbI3,LiF
4959,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,phenethylammonium iodide
4960,3D perovskite (MAPbI3) and 2D/3D heterostructure (with BAV-induced 2D layers),4-guanidinobenzoic acid hydrochloride (GBAC)
4961,Cs0.05(MA0.1FA0.85)PbI3,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
4962,Cs0.05(MA0.10FA0.85)Pb(I0.90Br0.10)3,2CF3-phenethylammonium iodide
4963,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
4964,FA0.83Cs0.17Pb0.5Sn0.5I3,poly(4-vinylpyridine)
4965,FA0.85Cs0.15PbI2.85I3,butylamine
4966,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,anisole
4967,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,cyclohexylmethylammonium iodide
4968,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,4-fluoroaniline
4969,Cs0.05FA0.81MA0.14PbI2.55Br0.45,TiOxNy
4970,FA0.15MA0.85PbI3,DTB(3%DEG)
4971,Cs0.05(FA0.05MA0.95)0.95Pb(I0.95Br0.05)3,azetidinium iodide
4972,formamidinium lead iodide (FAI) based compound,hexafluorobenzene
4973,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,"PEAI, Cl-PEAI, F-PEAI"
4974,FAPbI3:0.95MAPbBr3:0.05,FA0.83Cs0.17Pb0.5Sn0.5I3
4975,FA(MA)PbI3,EDTA
4976,Cs0.05(FA0.05MA0.95)0.95Pb(I0.9Br0.1)3,sodium thioglycolate
4977,Cs0.05 FA0.8 MA0.15 PbI2.88 Br0.04 Cl0.08,cyclohexylmethylammonium iodide
4978,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,octylammonium iodide
4979,Cs0.15FA0.85PbI2.55Br0.45,n-hexylammonium bromide and n-octylammonium bromide
4980,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,Cs2PbI2Cl2
4981,Cs0.1FA0.9PbI2.55Br0.45,4-tert-butyl-1-methylpyridinium bis(trifluoromethylsulfonyl)imide
4982,MA0.7FA0.3PbI3,"N,N-dimethyl-1,3-propane diammonium diiodide"
4983,FA0.9Cs0.1PbI3,4-chlorophenylethylammonium iodide
4984,Cs0.05 FA0.85 MA0.15 PbI2.55 Br0.45,PSP
4985,Cs0.05FA0.9MA0.05Pb(I0.95Br0.05)3,"N,N-dimethyl-1,3-propane diammonium diiodide"
4986,Cs0.05(FA0.05MA0.95)0.95Pb(I0.9Br0.1)3,2CF3-phenethylammonium iodide
4987,FA0.8Cs0.2Pb(I0.7Br0.3)3,"3-(methylamine-5-pentanoate)thiophene-2,5-diy"
4988,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,Cl-cPP and Cl-bSO
4989,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,butylamine
4990,(FAPbI3)0.95(MAPbBr3)0.05,2-(9H-carbazol-9-yl)ethyl phosphonic acid
4991,Cs0.05(FA0.95MA0.05)0.95Pb(I0.95Br0.05)3,Spiro-mF
4992,Cs0.05(FA0.98MA0.02)0.95Pb(I0.98Br0.02)3,4-vinylbenzylamine
4993,CsPbI3-0.05-(FAPbI3)0.83-(MAPbBr3)0.17,poly(4-vinylpyridine)
4994,Cs0.05(FA0.95MA0.05)0.05(PbI2.55Br0.45)0.55(I0.5Cl0.5)0.5,EDTA
4995,FA0.83MA0.17PbI3,"benzylamine hydroiodide (BAHI), poly[bis(4-phenyl)(2,5-trimethylphenyl)amine] (PTAA), and 4-tert-butylpyridine (tBP)"
4996,Cs0.1FA0.9PbI2.55Br0.45,Cl-cPP and Cl-bSO
4997,FA1-x MAx PbI3 (FA: HC(NH2)2; MA: CH3NH3),4-trifluoromethyl-phenylammonium
4998,FA0.95MA0.05Pb(I0.92Br0.08)3,ferrocenyl-bis-thiophene-2-carboxylate
4999,FA0.83Cs0.17MA0.17Pb0.5Sn0.5I3,4-chlorophenylethylammonium iodide
5000,Cs0.05 FA0.81 MA0.14 PbI2.55 Br0.45,"N,N-dimethyl-1,3-propane diammonium diiodide"
5001,FA-based mixed perovskites,methylammonium chloride
5002,(FAPbI3)0.97(MAPbBr3)0.03,allylammonium
5003,FA0.15MA0.85PbI3,4-(Trifluoromethyl) phenethylammonium (CF3-PEA)
5004,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,(BA)2PbI4
5005,FA0.83MA0.17PbI3,benzylhydrazine (BHC)
5006,Cs0.05MA0.05FA0.9Pb(I0.95Br0.05)3,CF3PEAI2D
5007,Cs0.15FA0.85MA0.05PbI3,4-vinylbenzylamine
5008,PEA2(CH3NH3)2Pb2I7,EDTA
5009,FAPbI3:0.95MAPbBr3:0.05,n-butylamine acetate
5010,FA0.83MA0.17PbI3,isopropylammonium chloride
5011,MAPbI3,4-fluoroaniline
5012,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,PDAI2 and 3MTPAI
5013,formamidinium-based,formamidinium formate
5014,FA(MA)PbI3,hexafluorobenzene
